일자,Hour,1005004000_velocity,1050003300_velocity,1050020400_velocity,1070000200_velocity,1070000500_velocity,1070001600_velocity,D-08 유입_traffic,D-08 유출_traffic,F-03 유입_traffic,F-04 유출_traffic,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm)
20220419,1,39.82,73.83,18.79,76.42,66.08,90.92,550.0,712.0,1079.0,969.0,11.4,,1.4,63.0,
20220419,2,42.19,76.08,14.66,75.08,68.0,92.5,380.0,625.0,829.0,828.0,11.0,,1.3,68.0,
20220419,3,43.04,75.5,16.46,74.25,66.5,92.08,410.0,495.0,689.0,709.0,10.4,,1.7,69.0,
20220419,4,34.34,74.42,18.91,76.67,67.42,89.83,624.0,709.0,1020.0,1011.0,10.1,,1.0,72.0,
20220419,5,35.92,75.83,20.45,76.17,66.83,90.5,1275.0,1222.0,2463.0,2526.0,9.7,,1.1,74.0,
20220419,6,38.59,77.17,22.69,72.92,64.25,74.5,1839.0,1225.0,3820.0,2998.0,9.1,,1.7,74.0,
20220419,7,40.75,84.5,26.79,64.5,64.42,61.83,2022.0,1352.0,3891.0,2856.0,9.1,,1.8,75.0,
20220419,8,29.37,82.25,22.49,71.33,67.67,68.92,2213.0,1678.0,3533.0,2638.0,11.3,,1.7,68.0,
20220419,9,17.61,82.33,24.78,74.75,69.83,79.58,2171.0,1612.0,3784.0,2789.0,14.1,,1.7,58.0,
20220419,10,23.63,82.58,23.4,73.17,67.42,72.83,1958.0,1595.0,3661.0,2973.0,16.6,,2.2,48.0,
20220419,11,32.69,80.67,24.25,62.92,63.42,57.58,1940.0,1459.0,3651.0,2943.0,18.3,,1.9,44.0,
20220419,12,29.82,81.58,21.76,28.17,62.17,56.75,1905.0,1474.0,3677.0,2986.0,20.2,,2.5,39.0,
20220419,13,31.27,78.83,22.82,43.42,62.83,52.67,1928.0,1502.0,3629.0,2923.0,21.7,,2.5,36.0,
20220419,14,46.73,79.33,24.81,51.0,65.42,52.08,2036.0,1633.0,3576.0,2938.0,22.0,,3.6,35.0,
20220419,15,35.73,79.17,26.29,53.33,62.58,52.67,1915.0,1654.0,3683.0,2973.0,21.8,,4.0,31.0,
20220419,16,30.42,78.17,24.87,42.42,64.5,54.42,2006.0,1598.0,3820.0,2994.0,20.9,,5.1,32.0,
20220419,17,34.28,63.33,24.11,24.17,48.33,52.33,2054.0,1590.0,3795.0,3065.0,20.1,,3.9,32.0,
20220419,18,22.58,20.25,17.94,16.92,29.08,56.33,2082.0,1661.0,3695.0,3097.0,18.9,,4.6,35.0,
20220419,19,25.87,30.17,19.75,17.67,23.25,55.08,1938.0,1609.0,3459.0,2961.0,17.2,,2.7,37.0,
20220419,20,25.04,69.08,23.55,17.25,27.83,52.08,1775.0,1520.0,3683.0,2920.0,15.7,,3.7,40.0,
20220419,21,28.15,70.83,23.55,42.67,59.42,47.0,1693.0,1586.0,3387.0,2805.0,14.7,,2.7,47.0,
20220419,22,34.94,70.42,22.9,67.67,65.0,70.25,1444.0,1363.0,2817.0,2452.0,13.8,,1.5,54.0,
20220419,23,37.02,71.5,24.29,69.83,66.17,70.58,1114.0,1115.0,2292.0,1832.0,13.0,,1.9,57.0,
20220419,24,31.49,74.33,24.81,72.92,67.33,84.92,730.0,887.0,1506.0,1395.0,12.1,,2.3,61.0,
20220420,1,34.61,74.0,21.64,75.92,67.0,90.67,562.0,723.0,1060.0,1049.0,11.7,,0.9,65.0,
20220420,2,36.12,73.17,18.53,76.67,66.92,92.08,422.0,630.0,829.0,829.0,11.1,,1.0,68.0,
20220420,3,37.98,72.42,18.2,75.17,65.42,92.17,388.0,552.0,740.0,724.0,10.7,,1.2,70.0,
20220420,4,38.4,73.08,21.01,73.67,64.58,91.92,630.0,693.0,1027.0,1056.0,10.5,,1.3,73.0,
20220420,5,40.13,68.83,23.57,74.08,66.92,88.0,1236.0,1187.0,2426.0,2405.0,10.1,,0.6,73.0,
20220420,6,38.8,74.67,21.54,72.5,65.92,75.83,1838.0,1203.0,3934.0,3042.0,9.8,,0.7,74.0,
20220420,7,43.19,85.17,17.72,44.42,64.08,53.0,2156.0,1289.0,4048.0,2874.0,9.9,,0.9,75.0,
20220420,8,33.16,82.75,24.07,74.75,68.17,72.67,2288.0,1625.0,3803.0,2807.0,12.2,,2.0,67.0,
20220420,9,30.97,81.58,25.58,74.17,70.75,60.83,2056.0,1558.0,3872.0,2703.0,14.8,,1.6,53.0,
20220420,10,25.45,81.08,24.91,56.75,67.33,51.08,1983.0,1473.0,3701.0,2871.0,16.9,,1.0,43.0,
20220420,11,32.8,79.0,23.3,40.25,64.58,48.17,1999.0,1576.0,3733.0,2858.0,18.9,,3.1,35.0,
20220420,12,28.94,79.67,23.29,39.58,65.0,46.58,1850.0,1556.0,3744.0,2959.0,20.8,,3.4,32.0,
20220420,13,29.6,81.08,21.82,49.33,61.92,55.25,1902.0,1551.0,3667.0,2983.0,21.7,,3.9,29.0,
20220420,14,33.46,79.75,23.07,52.75,62.08,53.67,1911.0,1594.0,3676.0,2917.0,21.9,,4.1,25.0,
20220420,15,34.18,78.67,23.02,41.58,62.75,53.83,1872.0,1471.0,3763.0,2926.0,21.4,,4.6,30.0,
20220420,16,25.16,78.08,21.65,24.58,61.75,55.0,1931.0,1661.0,3863.0,3023.0,22.0,,3.3,29.0,
20220420,17,40.35,71.0,20.82,19.0,41.33,51.58,2011.0,1626.0,3867.0,3106.0,21.3,,3.8,27.0,
