1005004000_velocity,1050003300_velocity,1050020400_velocity,1070000200_velocity,1070000500_velocity,1070001600_velocity,F-03 유입_traffic,F-04 유출_traffic,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm),Year,is_weekend,is_holiday,is_morning_rush,is_evening_rush,month_sin,month_cos,hour_sin,hour_cos
39.82,73.83,18.79,76.42,66.08,90.92,1079.0,969.0,11.4,,1.4,63.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.25881904510252074,0.9659258262890683
42.19,76.08,14.66,75.08,68.0,92.5,829.0,828.0,11.0,,1.3,68.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
43.04,75.5,16.46,74.25,66.5,92.08,689.0,709.0,10.4,,1.7,69.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.7071067811865476,0.7071067811865476
34.34,74.42,18.91,76.67,67.42,89.83,1020.0,1011.0,10.1,,1.0,72.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001
35.92,75.83,20.45,76.17,66.83,90.5,2463.0,2526.0,9.7,,1.1,74.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.9659258262890683,0.25881904510252074
38.59,77.17,22.69,72.92,64.25,74.5,3820.0,2998.0,9.1,,1.7,74.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
40.75,84.5,26.79,64.5,64.42,61.83,3891.0,2856.0,9.1,,1.8,75.0,,2022,False,False,True,False,0.8660254037844387,-0.4999999999999998,0.9659258262890683,-0.25881904510252063
29.37,82.25,22.49,71.33,67.67,68.92,3533.0,2638.0,11.3,,1.7,68.0,,2022,False,False,True,False,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998
17.61,82.33,24.78,74.75,69.83,79.58,3784.0,2789.0,14.1,,1.7,58.0,,2022,False,False,True,False,0.8660254037844387,-0.4999999999999998,0.7071067811865476,-0.7071067811865475
23.63,82.58,23.4,73.17,67.42,72.83,3661.0,2973.0,16.6,,2.2,48.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387
32.69,80.67,24.25,62.92,63.42,57.58,3651.0,2943.0,18.3,,1.9,44.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.258819045102521,-0.9659258262890682
29.82,81.58,21.76,28.17,62.17,56.75,3677.0,2986.0,20.2,,2.5,39.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
31.27,78.83,22.82,43.42,62.83,52.67,3629.0,2923.0,21.7,,2.5,36.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.2588190451025208,-0.9659258262890683
46.73,79.33,24.81,51.0,65.42,52.08,3576.0,2938.0,22.0,,3.6,35.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.4999999999999997,-0.8660254037844388
35.73,79.17,26.29,53.33,62.58,52.67,3683.0,2973.0,21.8,,4.0,31.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.7071067811865471,-0.7071067811865479
30.42,78.17,24.87,42.42,64.5,54.42,3820.0,2994.0,20.9,,5.1,32.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004
34.28,63.33,24.11,24.17,48.33,52.33,3795.0,3065.0,20.1,,3.9,32.0,,2022,False,False,False,True,0.8660254037844387,-0.4999999999999998,-0.9659258262890683,-0.25881904510252063
22.58,20.25,17.94,16.92,29.08,56.33,3695.0,3097.0,18.9,,4.6,35.0,,2022,False,False,False,True,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16
25.87,30.17,19.75,17.67,23.25,55.08,3459.0,2961.0,17.2,,2.7,37.0,,2022,False,False,False,True,0.8660254037844387,-0.4999999999999998,-0.9659258262890684,0.2588190451025203
25.04,69.08,23.55,17.25,27.83,52.08,3683.0,2920.0,15.7,,3.7,40.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001
28.15,70.83,23.55,42.67,59.42,47.0,3387.0,2805.0,14.7,,2.7,47.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.7071067811865477,0.7071067811865474
34.94,70.42,22.9,67.67,65.0,70.25,2817.0,2452.0,13.8,,1.5,54.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
37.02,71.5,24.29,69.83,66.17,70.58,2292.0,1832.0,13.0,,1.9,57.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.25881904510252157,0.9659258262890681
31.49,74.33,24.81,72.92,67.33,84.92,1506.0,1395.0,12.1,,2.3,61.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0
34.61,74.0,21.64,75.92,67.0,90.67,1060.0,1049.0,11.7,,0.9,65.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.25881904510252074,0.9659258262890683
36.12,73.17,18.53,76.67,66.92,92.08,829.0,829.0,11.1,,1.0,68.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
37.98,72.42,18.2,75.17,65.42,92.17,740.0,724.0,10.7,,1.2,70.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.7071067811865476,0.7071067811865476
38.4,73.08,21.01,73.67,64.58,91.92,1027.0,1056.0,10.5,,1.3,73.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001
40.13,68.83,23.57,74.08,66.92,88.0,2426.0,2405.0,10.1,,0.6,73.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.9659258262890683,0.25881904510252074
38.8,74.67,21.54,72.5,65.92,75.83,3934.0,3042.0,9.8,,0.7,74.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17
43.19,85.17,17.72,44.42,64.08,53.0,4048.0,2874.0,9.9,,0.9,75.0,,2022,False,False,True,False,0.8660254037844387,-0.4999999999999998,0.9659258262890683,-0.25881904510252063
33.16,82.75,24.07,74.75,68.17,72.67,3803.0,2807.0,12.2,,2.0,67.0,,2022,False,False,True,False,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998
30.97,81.58,25.58,74.17,70.75,60.83,3872.0,2703.0,14.8,,1.6,53.0,,2022,False,False,True,False,0.8660254037844387,-0.4999999999999998,0.7071067811865476,-0.7071067811865475
25.45,81.08,24.91,56.75,67.33,51.08,3701.0,2871.0,16.9,,1.0,43.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387
32.8,79.0,23.3,40.25,64.58,48.17,3733.0,2858.0,18.9,,3.1,35.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.258819045102521,-0.9659258262890682
28.94,79.67,23.29,39.58,65.0,46.58,3744.0,2959.0,20.8,,3.4,32.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
29.6,81.08,21.82,49.33,61.92,55.25,3667.0,2983.0,21.7,,3.9,29.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.2588190451025208,-0.9659258262890683
33.46,79.75,23.07,52.75,62.08,53.67,3676.0,2917.0,21.9,,4.1,25.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.4999999999999997,-0.8660254037844388
34.18,78.67,23.02,41.58,62.75,53.83,3763.0,2926.0,21.4,,4.6,30.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.7071067811865471,-0.7071067811865479
25.16,78.08,21.65,24.58,61.75,55.0,3863.0,3023.0,22.0,,3.3,29.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004
40.35,71.0,20.82,19.0,41.33,51.58,3867.0,3106.0,21.3,,3.8,27.0,,2022,False,False,False,True,0.8660254037844387,-0.4999999999999998,-0.9659258262890683,-0.25881904510252063
26.04,17.83,20.98,17.42,26.75,54.92,3708.0,3015.0,20.2,,2.9,30.0,,2022,False,False,False,True,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16
23.32,16.17,22.27,16.33,26.0,56.33,3089.0,2905.0,18.2,,2.9,37.0,,2022,False,False,False,True,0.8660254037844387,-0.4999999999999998,-0.9659258262890684,0.2588190451025203
21.89,68.58,22.6,18.83,36.17,50.5,3805.0,2880.0,16.5,,3.3,40.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001
29.3,74.5,26.09,65.33,62.58,58.25,3284.0,2628.0,15.0,,2.2,48.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.7071067811865477,0.7071067811865474
29.58,73.5,24.96,68.75,65.17,73.17,3184.0,2655.0,14.2,,2.5,54.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
42.31,76.75,23.08,69.75,62.0,73.17,2458.0,2019.0,13.5,,1.6,54.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-0.25881904510252157,0.9659258262890681
36.11,76.08,21.08,72.25,67.33,82.33,1598.0,1435.0,12.3,,1.5,62.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,-2.4492935982947064e-16,1.0
34.34,80.33,19.07,75.58,66.92,88.25,1192.0,1148.0,12.2,,0.8,55.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.25881904510252074,0.9659258262890683
39.02,78.0,18.08,75.0,66.17,94.17,875.0,828.0,11.8,,0.9,55.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
39.5,75.67,20.22,76.67,66.42,91.25,748.0,753.0,11.4,,1.5,53.0,,2022,False,False,False,False,0.8660254037844387,-0.4999999999999998,0.7071067811865476,0.7071067811865476
